total_litres_of_pure_alcohol,year
0.0,2010
4.9,2010
0.7,2010
12.4,2010
5.9,2010
4.9,2010
8.3,2010
3.8,2010
10.4,2010
9.7,2010
1.3,2010
6.3,2010
2.0,2010
0.0,2010
6.3,2010
14.4,2010
10.5,2010
6.8,2010
1.1,2010
0.4,2010
3.8,2010
4.6,2010
5.4,2010
7.2,2010
0.6,2010
10.3,2010
4.3,2010
6.3,2010
4.0,2010
4.0,2010
2.2,2010
5.8,2010
8.2,2010
1.8,2010
0.4,2010
7.6,2010
5.0,2010
4.2,2010
0.1,2010
1.7,2010
5.9,2010
4.4,2010
10.2,2010
4.2,2010
8.2,2010
11.8,2010
0.0,2010
2.3,2010
10.4,2010
1.1,2010
6.6,2010
6.2,2010
4.2,2010
0.2,2010
2.2,2010
5.8,2010
0.5,2010
9.5,2010
0.7,2010
2.0,2010
10.0,2010
11.8,2010
8.9,2010
2.4,2010
5.4,2010
11.3,2010
1.8,2010
8.3,2010
11.9,2010
2.2,2010
0.2,2010
2.5,2010
7.1,2010
5.9,2010
3.0,2010
11.3,2010
6.6,2010
2.2,2010
0.1,2010
0.0,2010
0.2,2010
11.4,2010
2.5,2010
6.5,2010
3.4,2010
7.0,2010
0.5,2010
6.8,2010
1.8,2010
1.0,2010
0.0,2010
2.4,2010
6.2,2010
10.5,2010
1.9,2010
2.8,2010
3.1,2010
0.0,2010
12.9,2010
11.4,2010
0.8,2010
1.5,2010
0.3,2010
0.0,2010
0.6,2010
6.6,2010
0.0,2010
0.0,2010
2.6,2010
5.5,2010
2.3,2010
0.0,2010
4.9,2010
4.9,2010
0.5,2010
1.3,2010
0.1,2010
6.8,2010
1.0,2010
0.2,2010
9.4,2010
9.3,2010
3.5,2010
0.1,2010
9.1,2010
7.0,2010
6.7,2010
0.7,2010
0.0,2010
6.9,2010
7.2,2010
1.5,2010
7.3,2010
6.1,2010
4.6,2010
10.9,2010
11.0,2010
0.9,2010
9.8,2010
6.3,2010
10.4,2010
11.5,2010
6.8,2010
7.7,2010
10.1,2010
6.3,2010
2.6,2010
0.0,2010
4.2,2010
0.1,2010
0.3,2010
9.6,2010
4.1,2010
6.7,2010
1.5,2010
11.4,2010
10.6,2010
1.2,2010
0.0,2010
8.2,2010
10.0,2010
2.2,2010
1.7,2010
5.6,2010
4.7,2010
7.2,2010
10.2,2010
1.0,2010
0.3,2010
6.4,2010
3.9,2010
0.1,2010
1.3,2010
1.1,2010
6.4,2010
1.3,2010
1.4,2010
2.2,2010
1.0,2010
8.3,2010
8.9,2010
2.8,2010
10.4,2010
5.7,2010
8.7,2010
6.6,2010
2.4,2010
0.9,2010
7.7,2010
2.0,2010
0.1,2010
2.5,2010
4.7,2010
